OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
467;B000189220;B000052816;Responsabile dell'attività di intermediazione;
468;B000014107;B000014428;Rappresentante Legale;
469;B000013623;B000014346;Responsabile dell'attività di intermediazione;
470;B000013623;B000014346;Rappresentante Legale;
471;B000053496;B000054443;Rappresentante Legale;
472;B000085828;B000085838;Responsabile dell'attività di intermediazione;
473;B000063046;B000190757;Responsabile dell'attività di intermediazione;
474;B000013420;B000052429;Responsabile dell'attività di intermediazione;
475;B000147970;B000135711;Rappresentante Legale;
476;B000074749;B000062197;Responsabile dell'attività di intermediazione;
477;B000085872;B000134474;Responsabile dell'attività di intermediazione;
478;B000131029;B000050897;Responsabile dell'attività di intermediazione;
479;B000131029;B000050897;Rappresentante Legale;
480;B000058637;B000058632;Rappresentante Legale;
481;B000052737;B000171536;Rappresentante Legale;
482;B000013470;B000014451;Rappresentante Legale;
483;B000013645;B000506876;Rappresentante Legale;
484;B000163736;B000443675;Rappresentante Legale;
485;B000115908;B000314069;Responsabile dell'attività di intermediazione;
486;B000000807;B000548946;Responsabile dell'attività di intermediazione;
487;B000077331;B000480186;Responsabile dell'attività di intermediazione;
488;B000013506;B000014325;Responsabile dell'attività di intermediazione;
489;B000013508;B000014325;Responsabile dell'attività di intermediazione;
490;B000050428;B000568459;Responsabile dell'attività di intermediazione;
491;B000081355;B000131454;Responsabile dell'attività di intermediazione;
492;B000014061;B000014424;Responsabile dell'attività di intermediazione;
493;B000003587;B000567587;Rappresentante Legale;
494;B000013541;B000590700;Responsabile dell'attività di intermediazione;
495;B000099604;B000099633;Responsabile dell'attività di intermediazione;
496;B000014074;B000188216;Rappresentante Legale;
497;B000114993;B000115128;Responsabile dell'attività di intermediazione;
498;B000128448;B000323054;Responsabile dell'attività di intermediazione;
499;B000128491;B000323054;Responsabile dell'attività di intermediazione;
500;B000064358;B000064340;Rappresentante Legale;
501;B000116266;B000073708;Responsabile dell'attività di intermediazione;
502;B000013302;B000054892;Responsabile dell'attività di intermediazione;
503;B000013310;B000671533;Responsabile dell'attività di intermediazione;
504;A000128130;A000348255;Responsabile dell'attività di intermediazione;
505;B000142897;B000312586;Rappresentante Legale;
506;B000116794;B000196513;Rappresentante Legale;
507;B000117096;B000548946;Responsabile dell'attività di intermediazione;
508;B000117180;B000452345;Rappresentante Legale;
509;B000013825;B000098697;Responsabile dell'attività di intermediazione;
510;B000013350;B000605916;Responsabile dell'attività di intermediazione;
511;B000013350;B000605916;Amministratore Delegato;
512;B000013834;B000114899;Responsabile dell'attività di intermediazione;
513;B000133409;B000722208;Responsabile dell'attività di intermediazione;
514;B000097976;B000302472;Responsabile dell'attività di intermediazione;
515;B000098013;B000127422;Responsabile dell'attività di intermediazione;
516;B000013357;B000054892;Responsabile dell'attività di intermediazione;
517;B000014118;B000164840;Amministratore Delegato;
518;B000052820;B000233873;Rappresentante Legale;
519;B000052820;B000660686;Responsabile dell'attività di intermediazione;
520;B000086199;B000184650;Rappresentante Legale;
521;B000116582;B000756456;Rappresentante Legale;
522;B000183393;B000548946;Responsabile dell'attività di intermediazione;
523;B000002980;B000014416;Amministratore Delegato;
524;B000013564;B000516122;Responsabile dell'attività di intermediazione;
525;B000014217;B000197920;Rappresentante Legale;
526;B000059731;B000059721;Rappresentante Legale;
527;B000090408;B000131454;Rappresentante Legale;
528;B000013558;B000014336;Rappresentante Legale;
529;B000074500;B000056488;Amministratore Delegato;
530;B000183416;B000183733;Responsabile dell'attività di intermediazione;
531;B000013371;B000400942;Responsabile dell'attività di intermediazione;
532;B000013524;B000122399;Rappresentante Legale;
533;B000143443;B000479662;Responsabile dell'attività di intermediazione;
534;B000062719;B000284439;Responsabile dell'attività di intermediazione;
535;A000000605;A000011821;Responsabile dell'attività di intermediazione;
536;A000087181;A000119878;Responsabile dell'attività di intermediazione;
537;A000000808;A000011869;Responsabile dell'attività di intermediazione;
538;A000000817;A000011887;Responsabile dell'attività di intermediazione;
539;A000001864;A000187181;Responsabile dell'attività di intermediazione;
540;B000099875;B000340948;Rappresentante Legale;
541;B000186148;B000283903;Rappresentante Legale;
542;A000141109;A000629788;Responsabile dell'attività di intermediazione;
543;A000141948;A000518671;Responsabile dell'attività di intermediazione;
544;B000181522;B000067253;Direttore Generale;
545;B000014155;B000632962;Responsabile dell'attività di intermediazione;
546;B000014155;B000014442;Rappresentante Legale;
547;B000714221;B000055861;Responsabile dell'attività di intermediazione;
548;A000103766;A000069745;Responsabile dell'attività di intermediazione;
549;A000146981;A000146982;Responsabile dell'attività di intermediazione;
550;B000249253;B000014377;Responsabile dell'attività di intermediazione;
551;B000117724;B000357171;Responsabile dell'attività di intermediazione;
552;B000051104;B000073708;Responsabile dell'attività di intermediazione;
553;A000147076;A000284687;Responsabile dell'attività di intermediazione;
554;B000073252;B000072556;Responsabile dell'attività di intermediazione;
555;B000087500;B000090980;Amministratore Delegato;
556;B000069263;B000052199;Rappresentante Legale;
557;B000013870;B000099633;Responsabile dell'attività di intermediazione;
558;B000697232;B000073708;Responsabile dell'attività di intermediazione;
559;A000055089;A000624565;Responsabile dell'attività di intermediazione;
560;B000063413;B000072481;Responsabile dell'attività di intermediazione;
561;B000188970;B000373384;Rappresentante Legale;
562;B000068315;B000068305;Responsabile dell'attività di intermediazione;
563;A000166317;A000279183;Responsabile dell'attività di intermediazione;
564;A000129967;A000053685;Responsabile dell'attività di intermediazione;
565;A000135321;A000141646;Responsabile dell'attività di intermediazione;
566;A000171941;A000679512;Responsabile dell'attività di intermediazione;
567;B000068417;B000117871;Responsabile dell'attività di intermediazione;
568;B000072894;B000286546;Amministratore Delegato;
569;B000075450;B000083805;Rappresentante Legale;
570;B000013877;B000388574;Responsabile dell'attività di intermediazione;
571;B000188174;B000060025;Rappresentante Legale;
572;B000188174;B000060025;Amministratore Delegato;
573;B000014191;B000244857;Rappresentante Legale;
574;B000312585;B000058160;Responsabile dell'attività di intermediazione;
575;B000013983;B000014414;Rappresentante Legale;
576;B000013983;B000014414;Amministratore Delegato;
577;B000013985;B000014414;Responsabile dell'attività di intermediazione;
578;B000013993;B000055861;Responsabile dell'attività di intermediazione;
579;B000268728;B000671836;Rappresentante Legale;
580;B000014199;B000083306;Responsabile dell'attività di intermediazione;
581;B000013980;B000014407;Responsabile dell'attività di intermediazione;
582;A000158268;A000734847;Responsabile dell'attività di intermediazione;
583;A000146963;A000156414;Responsabile dell'attività di intermediazione;
584;B000131244;B000128518;Rappresentante Legale;
585;A000104448;A000087673;Responsabile dell'attività di intermediazione;
586;A000135458;A000120635;Responsabile dell'attività di intermediazione;
587;A000004518;A000791657;Responsabile dell'attività di intermediazione;
588;A000001750;A000187164;Responsabile dell'attività di intermediazione;
589;A000165379;A000446033;Responsabile dell'attività di intermediazione;
590;B000077131;B000134224;Responsabile dell'attività di intermediazione;
591;B000014003;B000081617;Rappresentante Legale;
592;A000129423;A000129424;Responsabile dell'attività di intermediazione;
593;B000004497;B000449285;Responsabile dell'attività di intermediazione;
594;A000069626;A000433842;Responsabile dell'attività di intermediazione;
595;A000141921;A000187811;Responsabile dell'attività di intermediazione;
596;A000000920;A000069903;Responsabile dell'attività di intermediazione;
597;A000182246;A000187119;Responsabile dell'attività di intermediazione;
598;A000179279;A000187126;Responsabile dell'attività di intermediazione;
599;B000051344;B000051355;Responsabile dell'attività di intermediazione;
600;A000129890;A000129891;Responsabile dell'attività di intermediazione;
601;A000050701;A000755247;Responsabile dell'attività di intermediazione;
602;A000120678;A000135460;Responsabile dell'attività di intermediazione;
603;A000165413;A000498751;Responsabile dell'attività di intermediazione;
604;A000004491;A000601771;Responsabile dell'attività di intermediazione;
605;A000121416;A000053802;Responsabile dell'attività di intermediazione;
606;A000000406;A000011755;Responsabile dell'attività di intermediazione;
607;A000158874;A000158875;Responsabile dell'attività di intermediazione;
608;A000158269;A000290259;Responsabile dell'attività di intermediazione;
609;A000078027;A000135501;Responsabile dell'attività di intermediazione;
610;A000172288;A000187178;Responsabile dell'attività di intermediazione;
611;A000000642;A000011838;Responsabile dell'attività di intermediazione;
612;A000129422;A000141019;Responsabile dell'attività di intermediazione;
613;B000171831;B000182111;Responsabile dell'attività di intermediazione;
614;B000013781;B000727114;Responsabile dell'attività di intermediazione;
615;B000013197;B000065009;Responsabile dell'attività di intermediazione;
616;A000077597;A000731130;Responsabile dell'attività di intermediazione;
617;A000000683;A000676793;Responsabile dell'attività di intermediazione;
618;A000147547;A000147549;Responsabile dell'attività di intermediazione;
619;A000069777;A000069778;Responsabile dell'attività di intermediazione;
620;A000165431;A000583478;Responsabile dell'attività di intermediazione;
621;A000146634;A000134792;Responsabile dell'attività di intermediazione;
622;A000055274;A000461503;Responsabile dell'attività di intermediazione;
623;A000148180;A000148181;Responsabile dell'attività di intermediazione;
624;A000070299;A000708449;Responsabile dell'attività di intermediazione;
625;A000073569;A000053567;Responsabile dell'attività di intermediazione;
626;B000013760;B000052238;Rappresentante Legale;
627;A000119816;A000580264;Responsabile dell'attività di intermediazione;
628;A000004585;A000484113;Responsabile dell'attività di intermediazione;
629;A000157944;A000637266;Responsabile dell'attività di intermediazione;
630;A000166374;A000190976;Responsabile dell'attività di intermediazione;
631;A000179063;A000650915;Responsabile dell'attività di intermediazione;
